source_path,source_url,title,post_type,wp_slug,content_length
/,https://www.timtec.net/,TimTec Compound Libraries for Screening and Chemical Building Blocks,page,home,708
/home/download-databases.html,https://www.timtec.net/home/download-databases.html,Database Access,page,home/download-databases,32041
/user/register.html,https://www.timtec.net/user/register.html,Untitled,page,user/register,64055
/screening-compound-libraries.html,https://www.timtec.net/screening-compound-libraries.html,screening-compound-libraries,page,screening-compound-libraries,164
/targeted.html,https://www.timtec.net/targeted.html,targeted,page,targeted,143
/actitarg-cns.html,https://www.timtec.net/actitarg-cns.html,actitarg-cns,page,actitarg-cns,186
/gpcr-ligands-actitarg-g-library.html,https://www.timtec.net/gpcr-ligands-actitarg-g-library.html,gpcr-ligands-actitarg-g-library,page,gpcr-ligands-actitarg-g-library,172
/kinase-modulators-actitarg-k-library.html,https://www.timtec.net/kinase-modulators-actitarg-k-library.html,kinase-modulators-actitarg-k-library,page,kinase-modulators-actitarg-k-library,182
/protease-inhibitors-actitarg-p-library.html,https://www.timtec.net/protease-inhibitors-actitarg-p-library.html,protease-inhibitors-actitarg-p-library,page,protease-inhibitors-actitarg-p-library,186
/serine-proteinase-inhibitors-actitarg-s-library.html,https://www.timtec.net/serine-proteinase-inhibitors-actitarg-s-library.html,serine-proteinase-inhibitors-actitarg-s-library,page,serine-proteinase-inhibitors-actitarg-s-library,204
/actitarg-i-potassium-channel-modulators.html,https://www.timtec.net/actitarg-i-potassium-channel-modulators.html,actitarg-i-potassium-channel-modulators,page,actitarg-i-potassium-channel-modulators,186
/actitarg-n-nuclear-receptor-ligands.html,https://www.timtec.net/actitarg-n-nuclear-receptor-ligands.html,actitarg-n-nuclear-receptor-ligands,page,actitarg-n-nuclear-receptor-ligands,179
/hdac-inhibitors-actitarg-h-library.html,https://www.timtec.net/hdac-inhibitors-actitarg-h-library.html,hdac-inhibitors-actitarg-h-library,page,hdac-inhibitors-actitarg-h-library,178
/acticom-collection-of-active-compounds.html,https://www.timtec.net/acticom-collection-of-active-compounds.html,acticom-collection-of-active-compounds,page,acticom-collection-of-active-compounds,184
/activity-aimed-sets.html,https://www.timtec.net/activity-aimed-sets.html,activity-aimed-sets,page,activity-aimed-sets,146
/anti-inflammatory.html,https://www.timtec.net/anti-inflammatory.html,anti-inflammatory,page,anti-inflammatory,142
/anti-infectives.html,https://www.timtec.net/anti-infectives.html,anti-infectives,page,anti-infectives,138
/o-glcnac-transferase-inhibitors.html,https://www.timtec.net/o-glcnac-transferase-inhibitors.html,o-glcnac-transferase-inhibitors,page,o-glcnac-transferase-inhibitors,170
/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results.html,https://www.timtec.net/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results.html,aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results,page,aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results,232
/activators-of-neutrophils.html,https://www.timtec.net/activators-of-neutrophils.html,activators-of-neutrophils,page,activators-of-neutrophils,158
/inhibitors-of-anthrax-lf.html,https://www.timtec.net/inhibitors-of-anthrax-lf.html,inhibitors-of-anthrax-lf,page,inhibitors-of-anthrax-lf,156
/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers.html,https://www.timtec.net/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers.html,potent-tumor-necrosis-factor-alpha-inducers,post,news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers,222
/ag-205-pgrmc1-inhibitor.html,https://www.timtec.net/ag-205-pgrmc1-inhibitor.html,ag-205-pgrmc1-inhibitor,page,ag-205-pgrmc1-inhibitor,155
/fpss-st50051351.html,https://www.timtec.net/fpss-st50051351.html,fpss-st50051351,page,fpss-st50051351,139
/privileged-structures.html,https://www.timtec.net/privileged-structures.html,privileged-structures,page,privileged-structures,159
/natural-products.html,https://www.timtec.net/natural-products.html,natural-products,page,natural-products,140
/fbl-fragment-based-library.html,https://www.timtec.net/fbl-fragment-based-library.html,fbl-fragment-based-library,page,fbl-fragment-based-library,162
/template-based-compound-libraries.html,https://www.timtec.net/template-based-compound-libraries.html,template-based-compound-libraries,page,template-based-compound-libraries,174
/diversity-compound-libraries.html,https://www.timtec.net/diversity-compound-libraries.html,diversity-compound-libraries,page,diversity-compound-libraries,164
/actiprobe-series.html,https://www.timtec.net/actiprobe-series.html,actiprobe-series,page,actiprobe-series,140
/actiprobe-2k-screening-starter-kit-library.html,https://www.timtec.net/actiprobe-2k-screening-starter-kit-library.html,actiprobe-2k-screening-starter-kit-library,page,actiprobe-2k-screening-starter-kit-library,194
/actiprobe-10k-library.html,https://www.timtec.net/actiprobe-10k-library.html,actiprobe-10k-library,page,actiprobe-10k-library,150
/actiprobe-25k.html,https://www.timtec.net/actiprobe-25k.html,actiprobe-25k,page,actiprobe-25k,134
/actiglobe-50k.html,https://www.timtec.net/actiglobe-50k.html,actiglobe-50k,page,actiglobe-50k,134
/apexscreen-compound-library.html,https://www.timtec.net/apexscreen-compound-library.html,apexscreen-compound-library,page,apexscreen-compound-library,162
/diversity-screening-set-10k.html,https://www.timtec.net/diversity-screening-set-10k.html,diversity-screening-set-10k,page,diversity-screening-set-10k,162
/myriascreen-diversity-collection.html,https://www.timtec.net/myriascreen-diversity-collection.html,myriascreen-diversity-collection,page,myriascreen-diversity-collection,154
/natural-compound-library.html,https://www.timtec.net/natural-compound-library.html,natural-compound-library,page,natural-compound-library,156
/ndl-3000-natural-derivatives-library.html,https://www.timtec.net/ndl-3000-natural-derivatives-library.html,ndl-3000-natural-derivatives-library,page,ndl-3000-natural-derivatives-library,180
/flavonoid-derivatives.html,https://www.timtec.net/flavonoid-derivatives.html,flavonoid-derivatives,page,flavonoid-derivatives,150
/gossypol-and-derivatives.html,https://www.timtec.net/gossypol-and-derivatives.html,gossypol-and-derivatives,page,gossypol-and-derivatives,156
/gossypol-derivatives.html,https://www.timtec.net/gossypol-derivatives.html,gossypol-derivatives,page,gossypol-derivatives,148
/gossypol-msds.html,https://www.timtec.net/gossypol-msds.html,gossypol-msds,page,gossypol-msds,134
/gossypol-certificate-of-analysis.html,https://www.timtec.net/gossypol-certificate-of-analysis.html,gossypol-certificate-of-analysis,page,gossypol-certificate-of-analysis,172
/plant-extracts.html,https://www.timtec.net/plant-extracts.html,plant-extracts,page,plant-extracts,136
